state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MD,17954.0,0.0,45148.240000000005,266875.31,4207880.11,110033.05,290690.86,30321.25,107423.56999999999,1080884.18,4133845.65,33351.69,33685.14,38719.04,732091.12,13654.67,238758.93,3756338.35,264983.76,449701.0,445953.28,9658744.79,28844.559999999998,2251694.76,3050960.46,139455.92,114084.86,162440.61,141249426.66,3008807.6,210499.19,5769780.45,36943.67,1073614.43,755375.4,1514402.3,8872442.62,20863817.74,705193.84,5742904.29,520563.47000000003,9756283.93,699961.41,12401301.18,2599018.69,6108273.36,12604573.37,58918.59
ME,,0.0,2395.95,2597843.84,231862.4,57487.68,56001.86,49100.5,273437.04,117912.07,19509.32,124781.37000000001,7219158.62,24870.5,79152.77,201123.19,4237779.39,59003.369999999995,207309.88999999998,960464.6,5842.1900000000005,1547337.49,325171.63,574892.45,19926.52,53495.33,99738.77,71796.54,281370.1,2598.5,470212.78,2319138.9,6230481.02,2038025.96,159616.52000000002,939904.0399999999,389706.5,474882.1,440896.73000000004,595919.62,88761.62,63174.64,408828.98,2676663.91,165444.34,61213.54,82523.94,31921.760000000002
MI,7709.68,0.0,55264.21,125897.86,376988.17,967679.17,1011891.21,1113567.98,629973.24,206699.87,5356261.06,6039052.05,428944.4,447211.71,501977.82,194796.42,497732.37,30300.0,315285.69,204338.07,56406.63,853090.77,1259695.99,2196199.12,85830.57,590277.9,1134665.62,102738.77,43142.72,4975513.18,464466.68,316218.9,360949.43,2538034.5,1896105.3,268586.33,1912403.04,880399.33,7819580.16,8962697.15,403240.08,678060.45,7587182.04,13576656.8,7334523.75,39208256.06,4261938.79,16100.34
MN,1730.81,11200.16,25154.81,5505450.2,3143817.69,132273.23,302743.63,53145.100000000006,912638.8,1134883.28,567229.17,1059817.72,1091406.96,0.0,473287.18,84341.81,113086.89,59766.99,1693776.29,49234.52,24430.1,1428173.23,53699934.92,1555722.49,1575828.24,1928326.38,7221312.53,3761403.41,369458.06,4593106.01,126973.09,794943.29,4415100.35,686529.58,6681906.16,8113169.51,2731520.82,2952416.35,529490.43,2653347.5,29699.769999999997,2173355.36,50926.14,615941.37,4676862.5,492073.16000000003,22169.07,27873.14
MO,,34800.0,220689.66,307883.91,12001769.92,114032.02,910327.69,23705535.31,10196651.0,3561069.45,4725882.82,13525164.33,99691.4,50865.57,199227.92,5778248.37,1044687.39,372634.63,151923957.95,17560518.82,12871062.27,2927578.41,953274.4299999999,6943377.0,2554338.77,3253327.91,3205034.55,4194053.06,1580661.7,2051169.04,773913.06,1242175.13,8798817.92,82103281.74,2996334.17,11707519.14,44248668.18,55120.340000000004,16059963.15,2824374.65,66304237.61,6268085.38,67896383.21,1928619.6199999999,68979018.53,9678536.33,5639628.64,28032.67
MP,,,,,2526.45,2040.4,,,3230.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,,,3069.0299999999997,213790.22,21491859.35,4757152.23,330300.38,2271335.93,36796114.22,2498857.68,2490128.95,170827.45,3715938.05,405714.93,816178.53,6527974.32,9219218.03,370786.69,4298327.27,3754439.73,12505872.88,1183940.25,9480424.92,39647824.03,1956133.11,616779.81,8472679.99,14209866.47,16570844.89,2404396.46,1931989666.43,1288305.05,590231.76,25193962.1,11002863.5,4806018.78,44253961.82,35546377.14,8536063.85,4880599.49,2273858.4,18442537.72,16218243.62,9890808.98,18995556.45,32465241.16,22997708.33,243667.86
MT,11500.0,,,467557.26,519399.96,28967.73,252283.54,33981.43,2682.82,0.0,27420.92,147303.22,,,50008.329999999994,67650.0,62185.88,12971.76,6870.95,0.0,38649.88,554418.96,2110097.82,32047.46,20058.57,0.0,3485.59,4443.68,54253.26,1195.72,19457.550000000003,16596.27,79540.6,123410.22,14037.61,17574.83,4045101.12,50220.13,126209.98,434790.18,23373.12,70137.93000000001,20460.69,1077458.51,185525.68,86324.16,1947.06,0.0
NC,0.0,,292706.76,258042.89,1091678.53,895633.16,506335.81,804738.25,855960.59,830103.1,1567769.55,873100.22,2224649.57,1385460.9,15799446.09,1165097.96,8828335.38,2304431.7,16780412.44,4320296.25,12883473.72,163068047.22,8676143.75,23337973.82,198506684.02,3523100.53,1045822.69,1460907.94,89993987.38,30616863.95,18233052.97,18904429.27,1005802.7,15540664.99,7677631.0200000005,15052348.24,142847120.84,11976266.55,9080287.98,5862662.89,8425516.7,187834613.52,2429125.45,561707847.29,63291666.51,34469492.32,20332054.13,840931.8300000001
ND,10000.0,2682.01,6928.9,1108836.06,5235105.28,34066.020000000004,14912.47,74925.89,63610.86,5518.3,1886.63,13117.11,142444.06,0.0,787817.5700000001,0.0,113685.48,1865.2,293753.4,6565.58,923301.05,7718822.95,87236983.45,4941973.44,3169307.38,2037174.81,2874207.64,529776.73,115130.0,1391149.48,218355.73,810723.54,35053.43,14849.789999999999,19677049.14,4451526.89,88451053.02,1159372.82,1115356.79,994426.46,12659.08,54833.28,18609.9,1612.08,528903.63,238422.46,9793.93,
NE,,,44729.979999999996,943527.98,192423.0,94487.93,12419.130000000001,470240.28,132184.79,3808308.88,170097.63,80542.47,58911.770000000004,2661.0,76567.59,392884.44,122271.29,57426.340000000004,4610650.15,38818.32,67732.08,631469.76,1106115.4,215377.93,484680.89,15689.54,107033.78,18164.63,166952.02,261477.73,215111.64,26907.629999999997,623222.84,1436134.07,22859.39,5449263.67,6709079.02,0.0,123439.15,177335.8,3189607.82,295850.76,411152.37,577701.15,48439239.14,245889.1,304057.13,
NH,,,0.0,759377.95,121507.2,10027.3,84707.84,21486.29,53636.840000000004,201429.82,0.0,87153.18,957792.78,7925.54,1491.72,18347.76,1622569.17,61789.82,17896.5,12615.61,124618.04,2169799.34,138213.44,677449.44,32930.42,104235.59000000001,148782.8,50789.97,125292.86,196815.86,3592837.3,11451162.81,8962286.33,753384.34,40626.34,2074109.3599999999,3305844.71,1414361.17,359524.33,219756.62,56049.31,76178.31000000001,995981.23,2299361.03,63428.64,0.0,780373.93,209742.16
NJ,4384.18,27.5,1768360.55,1479738.54,2331323.14,5161483.1,458180.76,379550.04,1615016.49,37600116.37,11739156.35,351459.70999999996,2718001.2600000002,238059.3,3660107.5100000002,393487.09,8676395.73,165836918.89,2634784.72,10300199.26,1302079.6,20694892.65,4501248.68,17230379.22,110206443.09,3083745.69,1364138.8900000001,697590.59,2289425.12,17333728.95,49700609.7,22316232.11,125662284.5,3728014.36,11651613.63,81467430.13,544165010.16,3680586332.05,2321552.81,5741440.62,1395542.46,23549699.45,1830835.83,16171418.59,7264671.44,3203957.65,399267077.74,250049.9
NM,,,0.0,25866.51,96454.73,45645.19,29483.39,10331.95,22412.39,58516.81,12978.13,10382.44,6619.0599999999995,78071.96,7154.03,26340.72,12233.27,535766.49,2732.99,39458.66,63852.85,52475.11,35035.729999999996,9593.83,263805.66,122029.81999999999,44054.68,134484.91,56370.83,214437.45,377298.91,5167322.85,94581.0,1974174.64,42945.01,587998.22,24008.28,84441.99,1695924.05,819673.2999999999,398107.11,234808.42,349186.29,577063.79,166573.86000000002,47913.9,1009025.9099999999,
NV,,,5332.73,8582.38,15105.97,31989.300000000003,1026.7,22730.010000000002,231404.48,434887.56,16437.960000000003,426960.86,4026.42,0.0,2853.72,287155.41000000003,14811.96,58120.85999999999,5401.219999999999,0.0,110194.83,230428.26,13677240.88,504450.44,1452616.47,36792.35,26334.23,0.0,833237.63,4578.04,7192587.83,543711.98,33919.55,29649.739999999998,0.0,30206.480000000003,13748.689999999999,1182405.21,132388.35,1142859.72,264752.11,197190.29,3154406.6,2000.0,73120.99,0.0,751429.42,0.0
