,grid_id_old,grid_id
1519,"(52, 109)","(-39, -72)"
1525,"(52, 109)","(-38, -71)"
1534,"(143, 303)","(53, 123)"
1539,"(136, 185)","(46, 5)"
1540,"(130, 200)","(40, 20)"
1553,"(122, 257)","(31, 77)"
1554,"(125, 177)","(34, -4)"
1555,"(125, 177)","(34, -4)"
1556,"(118, 265)","(27, 85)"
1564,"(117, 268)","(27, 88)"
1571,"(117, 266)","(27, 86)"
1591,"(117, 267)","(27, 87)"
1595,"(119, 251)","(28, 71)"
1596,"(116, 269)","(26, 88)"
1662,"(113, 270)","(23, 90)"
1668,"(141, 185)","(51, 5)"
1675,"(72, 114)","(-19, -66)"
1680,"(134, 198)","(43, 18)"
1745,"(135, 198)","(44, 18)"
1747,"(134, 199)","(44, 18)"
1882,"(120, 275)","(30, 94)"
1884,"(115, 278)","(25, 98)"
1885,"(114, 281)","(24, 101)"
1886,"(121, 284)","(30, 103)"
1887,"(117, 281)","(26, 101)"
1888,"(120, 289)","(30, 109)"
1889,"(116, 283)","(26, 102)"
1890,"(121, 282)","(31, 102)"
1892,"(117, 289)","(27, 109)"
1893,"(121, 291)","(31, 110)"
1894,"(135, 261)","(44, 81)"
1895,"(126, 292)","(36, 111)"
1896,"(123, 286)","(33, 105)"
1900,"(128, 292)","(37, 111)"
1901,"(120, 283)","(29, 103)"
1902,"(116, 286)","(26, 106)"
1903,"(120, 283)","(29, 103)"
1904,"(122, 284)","(31, 103)"
1905,"(118, 279)","(28, 99)"
1906,"(128, 290)","(38, 110)"
1908,"(124, 285)","(34, 104)"
1909,"(124, 287)","(33, 106)"
1910,"(120, 273)","(30, 92)"
1911,"(118, 289)","(28, 108)"
1912,"(117, 288)","(27, 107)"
1913,"(122, 284)","(32, 104)"
1914,"(83, 290)","(-8, 109)"
1915,"(83, 288)","(-7, 108)"
1916,"(87, 300)","(-3, 120)"
1917,"(83, 291)","(-8, 110)"
1919,"(94, 306)","(4, 125)"
1920,"(82, 296)","(-9, 116)"
1921,"(84, 287)","(-6, 106)"
1922,"(94, 279)","(3, 99)"
1923,"(90, 281)","(-1, 100)"
1930,"(83, 289)","(-7, 109)"
1932,"(137, 193)","(46, 12)"
1933,"(137, 190)","(46, 10)"
1935,"(131, 194)","(41, 14)"
1936,"(129, 196)","(38, 15)"
1937,"(111, 277)","(21, 97)"
1938,"(114, 274)","(24, 94)"
1940,"(119, 264)","(28, 84)"
1948,"(118, 266)","(28, 85)"
1959,"(118, 264)","(28, 84)"
1965,"(119, 263)","(29, 83)"
1966,"(119, 266)","(28, 85)"
1969,"(113, 273)","(22, 92)"
1972,"(119, 264)","(29, 83)"
1974,"(119, 264)","(28, 84)"
1976,"(75, 113)","(-16, -67)"
1977,"(77, 106)","(-13, -74)"
1978,"(76, 113)","(-15, -67)"
1979,"(137, 188)","(46, 8)"
1980,"(92, 215)","(1, 34)"
1984,"(87, 210)","(-4, 29)"
1985,"(47, 108)","(-43, -72)"
1989,"(50, 108)","(-41, -72)"
1995,"(51, 108)","(-39, -72)"
1999,"(111, 291)","(20, 110)"
2001,"(120, 282)","(30, 102)"
2002,"(88, 102)","(-3, -78)"
2003,"(89, 102)","(-1, -79)"
2005,"(110, 107)","(20, -73)"
2006,"(109, 107)","(18, -74)"
2007,"(94, 306)","(4, 126)"
2010,"(92, 308)","(1, 128)"
2011,"(128, 196)","(38, 15)"
2012,"(91, 216)","(0, 36)"
2016,"(71, 227)","(-20, 46)"
2026,"(65, 226)","(-25, 45)"
2030,"(104, 192)","(14, 11)"
2031,"(118, 245)","(28, 65)"
2039,"(74, 109)","(-17, -71)"
2050,"(88, 211)","(-2, 31)"
2059,"(88, 211)","(-2, 31)"
2062,"(94, 215)","(4, 34)"
2064,"(130, 201)","(39, 21)"
2080,"(132, 207)","(41, 26)"
2085,"(109, 108)","(18, -72)"
2088,"(130, 197)","(40, 17)"
2090,"(132, 193)","(42, 13)"
2093,"(114, 275)","(23, 94)"
2095,"(121, 253)","(31, 73)"
2113,"(79, 104)","(-12, -77)"
2114,"(145, 177)","(55, -3)"
2120,"(135, 197)","(45, 17)"
2135,"(102, 176)","(11, -4)"
2136,"(101, 285)","(11, 104)"
2140,"(114, 280)","(23, 99)"
2143,"(127, 247)","(37, 67)"
2145,"(124, 249)","(34, 69)"
2150,"(127, 248)","(36, 68)"
2162,"(126, 243)","(35, 63)"
2164,"(123, 246)","(32, 65)"
2165,"(126, 249)","(36, 69)"
2168,"(125, 246)","(35, 65)"
2170,"(125, 251)","(34, 71)"
2178,"(125, 249)","(35, 68)"
2179,"(126, 244)","(36, 64)"
2181,"(127, 249)","(37, 68)"
2183,"(125, 250)","(34, 70)"
2186,"(127, 246)","(37, 66)"
2187,"(127, 250)","(36, 69)"
2190,"(125, 246)","(35, 65)"
2193,"(125, 251)","(34, 71)"
2208,"(125, 249)","(34, 68)"
2210,"(132, 200)","(42, 20)"
2212,"(133, 200)","(42, 20)"
2213,"(131, 201)","(40, 20)"
2216,"(133, 200)","(42, 20)"
2223,"(131, 201)","(40, 20)"
2225,"(127, 182)","(37, 2)"
2269,"(127, 184)","(37, 4)"
2277,"(127, 184)","(37, 4)"
2286,"(73, 200)","(-17, 19)"
2322,"(82, 194)","(-9, 13)"
2326,"(82, 194)","(-9, 13)"
2328,"(56, 122)","(-35, -58)"
2345,"(60, 115)","(-31, -65)"
2348,"(54, 123)","(-36, -58)"
2354,"(62, 114)","(-29, -67)"
2355,"(59, 119)","(-31, -62)"
2360,"(57, 120)","(-34, -61)"
2362,"(56, 121)","(-35, -60)"
2364,"(59, 296)","(-32, 116)"
2365,"(56, 299)","(-35, 118)"
2369,"(74, 326)","(-17, 146)"
2371,"(55, 326)","(-36, 146)"
2377,"(57, 332)","(-34, 151)"
2380,"(73, 311)","(-17, 131)"
2381,"(62, 334)","(-29, 153)"
2385,"(63, 334)","(-28, 153)"
2387,"(59, 333)","(-32, 152)"
2389,"(66, 331)","(-25, 150)"
2391,"(61, 331)","(-30, 151)"
2396,"(65, 323)","(-25, 142)"
2404,"(62, 334)","(-29, 153)"
2409,"(55, 330)","(-35, 149)"
2411,"(62, 334)","(-29, 153)"
2414,"(69, 304)","(-22, 123)"
2416,"(58, 332)","(-33, 151)"
2420,"(62, 334)","(-29, 153)"
2425,"(65, 323)","(-25, 142)"
2437,"(73, 326)","(-17, 146)"
2442,"(65, 323)","(-25, 142)"
2455,"(57, 332)","(-34, 151)"
2519,"(57, 327)","(-34, 147)"
2530,"(62, 329)","(-28, 148)"
2533,"(59, 296)","(-32, 116)"
2536,"(55, 330)","(-35, 149)"
2539,"(66, 333)","(-25, 152)"
2556,"(62, 334)","(-29, 153)"
2573,"(71, 308)","(-19, 128)"
2574,"(62, 329)","(-28, 148)"
2582,"(62, 329)","(-28, 148)"
2599,"(66, 333)","(-25, 152)"
2601,"(139, 194)","(48, 13)"
2611,"(129, 229)","(38, 49)"
2616,"(132, 230)","(41, 49)"
2617,"(132, 227)","(42, 46)"
2624,"(129, 229)","(38, 49)"
2628,"(131, 228)","(40, 48)"
2629,"(131, 230)","(40, 50)"
2631,"(130, 229)","(40, 48)"
2637,"(130, 228)","(40, 48)"
2644,"(132, 227)","(42, 46)"
2645,"(132, 227)","(42, 47)"
2646,"(113, 272)","(23, 91)"
2647,"(114, 270)","(23, 90)"
2649,"(113, 271)","(22, 91)"
2652,"(114, 270)","(23, 90)"
